,1
(Intercept),39.06782794
cement,0.073488292
slag,0.051859489
fly_ash,0.00128638
water,-0.10160149
superplasticizer,0.881563267
course_aggregate,-0.015363452
fine_aggregate,-0.01109249
age,0.240809266
cement_sq,-3.10E-06
slag_sq,0
fly_sq,0
water_sq,0
super_sq,-0.011504123
course_sq,0
fine_sq,-5.72E-05
age_sq,-0.000539452
c_s_sq,5.06E-05
c_f_sq,0
c_w_sq,0
c_su_sq,-0.000425001
c_c_sq,0
c_fi_sq,0
c_a_sq,0
s_f_sq,-0.0001291
s_w_sq,0
s_su_sq,0
s_c_sq,-0.000163965
s_fi_sq,0
s_a_sq,0.00021636
f_w_sq,0
f_su_sq,-0.000319033
f_c_sq,0
f_fi_sq,6.81E-05
f_a_sq,0
w_su_sq,0
w_c_sq,-0.000267047
w_fi_sq,0
w_a_sq,-0.000988061
su_c_sq,0
su_f_sq,0.001005367
su_a_sq,0.003063804
cr_f_sq,0
cr_a_sq,2.97E-05
fi_a_sq,0
